2048 2556
90 538 6
1828 1669 -3
188 373 -7
642 1655 8
449 304 -9
1423 110 17
1813 585 18
270 1621 16
1481 986 -9
1639 439 15
947 126 -3
1832 1735 0
1435 844 6
223 1596 -9
810 1926 7
310 653 2
217 589 18
1118 564 -2
1877 2045 19
1050 1012 16
1292 1783 17
29 866 -6
483 6 -3
110 798 0
1612 172 19
263 1916 12
1572 1512 1
752 753 -1
1327 1627 15
460 987 20
1551 227 12
1931 258 -8
1527 244 7
327 612 15
1687 1112 9
1725 867 11
1271 1576 -2
785 1974 12
1840 280 18
104 554 16
1094 1893 7
1638 1684 1
155 267 -5
258 1763 -2
1703 273 -1
1847 1172 -6
1785 261 18
356 1784 1
951 1541 -7
1423 1032 -5
783 1252 15
960 1214 0
344 844 14
743 744 -1
1749 494 17
226 1987 11
1628 28 12
816 817 -1
325 873 -4
427 87 4
629 1557 2
253 1225 17
1378 1402 4
202 600 14
1884 1464 13
1828 339 -6
134 578 -1
188 834 -1
1855 809 4
795 796 -1
1008 1334 18
517 1910 15
1136 1832 4
732 1095 5
1420 190 -4
1455 713 1
1612 77 3
318 541 1
787 788 -1
3 79 -5
1896 131 15
567 440 18
520 1871 6
1926 1384 3
258 711 14
260 1229 11
1241 992 -6
1078 1036 9
1958 1313 9
1619 1480 20
539 1803 11
773 83 14
1310 737 19
1113 884 9
220 217 14
406 1351 18
698 699 -1
704 705 -1
479 300 8
1590 1261 9
1586 1899 0
900 1214 3
813 1306 5
29 1936 18
608 1756 -10
734 735 -1
734 1679 -5
998 1616 10
769 770 -1
237 240 -7
1315 546 3
75 1259 8
1285 1663 3
1229 989 17
407 1846 -8
1828 1738 13
930 1694 -10
164 862 10
708 709 -1
1697 847 6
65 1393 -8
383 1209 19
767 455 12
1734 1372 16
452 1785 19
2009 1012 15
1366 1145 16
1831 551 19
1499 2014 -8
1007 1730 14
507 781 -7
774 775 -1
871 1575 3
1123 176 1
1729 829 16
233 2002 7
1580 1591 17
788 1167 15
1256 1397 -7
1630 338 20
1982 10 8
1084 1828 -9
302 1199 18
804 805 -1
421 177 18
970 1805 7
790 144 13
1618 1468 13
1233 1035 4
1281 1526 0
1910 1475 10
91 1253 18
581 709 18
81 1789 20
849 698 -1
421 332 1
255 148 15
884 1634 2
766 767 -1
694 1359 11
1317 1712 19
1996 1650 20
739 740 -1
1664 1287 -6
1142 1683 -1
764 1460 -5
1154 1558 17
1695 402 4
1007 242 -8
1476 597 -6
1028 1128 -4
718 719 -1
699 1276 3
1314 1745 7
765 304 16
1717 1362 -6
1632 977 5
421 995 2
987 854 14
1224 790 4
1063 1093 -7
275 942 16
1984 677 10
1436 1062 10
971 725 2
1598 555 -9
587 1132 -9
1113 505 15
1893 489 13
803 1749 -7
169 1626 -5
377 1816 -5
1175 1612 5
324 914 12
2012 918 17
191 1317 10
759 1000 -3
1094 1252 14
1610 30 -7
711 712 -1
958 1733 -8
718 1873 1
705 706 -1
1782 291 13
1713 1092 -8
407 1552 5
359 799 9
1864 461 0
78 151 17
1239 1780 19
1343 895 13
1598 943 19
1338 1156 12
980 1948 12
123 369 12
1692 105 17
1770 1882 -3
705 2011 3
357 581 20
924 316 5
1424 306 -10
1757 1381 19
1330 908 -9
1194 986 10
840 362 -7
206 1211 5
80 558 -6
1370 623 7
1155 1374 7
314 856 6
495 1996 11
1453 751 0
435 873 15
935 1820 -4
1741 600 -2
1668 418 14
1591 1563 13
916 1784 -5
1861 497 -6
1636 748 2
136 955 -4
2008 218 12
1178 260 -3
620 96 16
1956 1535 -6
57 218 -6
384 671 0
1939 1287 -10
442 1546 4
336 1446 -3
491 792 14
37 1261 1
23 166 10
667 1578 6
1563 1758 19
383 1005 16
1105 1730 7
739 1156 19
1256 926 9
1545 1981 18
689 1582 6
1744 550 0
330 1945 5
1908 316 -8
1509 1684 6
1481 332 1
1835 836 2
1333 250 16
2021 1722 4
273 1953 8
879 289 -7
833 776 5
1061 1526 19
287 1580 -1
836 2012 -8
1290 1537 11
1788 1520 18
1341 640 12
1703 681 13
185 345 12
1620 159 8
355 1315 11
566 988 -5
1708 1764 1
1939 1661 12
1621 317 -5
1084 1481 0
306 937 8
1736 268 -7
2042 389 9
250 1501 9
133 999 9
793 1422 -6
1535 1640 8
562 1533 -9
1799 1640 14
1132 1024 17
684 379 4
1529 30 17
448 773 10
1620 1623 -6
1030 547 -6
189 37 13
729 730 -1
1085 1022 -9
805 1922 -1
1684 0 -5
1488 1386 13
731 1422 11
1494 932 13
1991 516 13
1606 181 20
719 1231 6
784 785 -1
1182 1417 -8
2025 1273 -10
155 1263 -9
703 704 -1
1133 452 -2
249 869 -8
1479 1793 1
1164 1623 -6
991 740 12
1668 453 1
1876 1720 5
960 310 0
1665 1391 2
669 1994 5
1377 867 20
1992 1857 0
1937 989 12
1757 1945 14
27 300 11
617 1175 15
1543 629 -10
737 738 -1
1513 1676 13
1121 373 -1
2020 1383 12
118 883 -6
1752 529 17
252 1888 16
186 1323 15
114 627 -9
323 1108 5
2040 915 3
1915 1304 4
148 259 11
967 564 6
411 683 11
1926 72 7
526 1914 12
102 855 -1
273 400 -6
238 170 8
1471 47 9
1273 226 3
266 1958 -10
1037 1127 5
1134 1723 10
1243 119 0
1684 1589 13
1097 1402 -9
836 656 3
744 745 -1
1589 276 -6
1572 1930 5
143 186 -10
576 601 16
1868 1180 -9
1162 10 -10
1205 243 9
651 1202 17
424 1227 2
342 1172 -9
886 493 6
1993 1252 -2
361 439 -1
1317 897 8
357 219 9
1455 132 16
1303 1334 9
606 716 9
424 64 -1
443 1224 3
512 1483 0
1921 296 -6
738 739 -1
1440 1862 16
726 722 10
1199 1375 10
689 147 18
754 755 16
1160 1519 5
122 2028 -8
430 960 11
1042 1370 -1
1376 1459 -8
2030 732 4
1184 1081 7
1626 27 4
605 1423 -5
1503 993 1
1603 708 17
396 679 19
1746 1790 -6
1396 1207 -1
1928 1658 -6
120 57 19
707 708 -1
1011 1467 13
1812 1625 12
1772 1559 10
111 622 7
1486 1737 7
255 527 14
224 1546 5
2002 413 2
750 597 0
714 1541 0
1762 283 3
539 2001 16
1599 1740 -5
1952 1706 -3
958 1679 16
797 519 4
1148 556 -1
209 1794 1
1906 804 9
482 1163 -2
1595 994 16
1675 1646 10
848 1164 -6
13 1255 3
315 227 4
1242 444 1
884 1321 -1
881 1296 1
1260 1549 -10
225 881 -8
360 1034 20
1521 974 13
1598 1215 3
602 1877 12
1045 1318 4
1946 1643 0
733 734 -1
1355 1343 5
237 1495 15
1790 1952 -7
654 1578 0
9 1826 10
598 409 16
978 1980 10
661 809 10
370 1624 18
1880 770 -10
1995 533 5
1190 1842 -5
870 1069 -6
138 1284 0
437 948 14
2020 1557 -5
1414 431 -4
1593 98 15
1748 1851 8
2037 777 -9
1072 692 -5
986 368 20
1662 537 20
917 1294 -2
782 783 -1
1202 527 2
1016 1777 -8
606 1412 -1
2029 1446 -5
1475 999 12
657 326 0
1494 1292 8
1988 1576 -9
248 1765 19
2045 1643 -3
441 671 5
1381 1067 -8
1428 2039 8
243 1962 12
1928 236 10
607 244 2
471 1030 6
1033 434 5
338 1525 7
37 1819 1
498 820 14
1742 1350 -2
1985 236 12
1227 1109 5
45 87 15
297 1315 3
1895 586 19
1023 1667 1
598 181 -10
752 1329 1
329 561 14
73 0 7
109 0 2
1996 1774 0
683 259 -4
134 1830 -2
140 1171 14
1355 1814 2
794 795 -1
1442 1313 -3
1051 2030 -8
1862 150 6
1991 427 -2
1173 2040 -10
564 1903 -5
1653 179 -4
1778 653 -4
817 818 -1
852 338 16
1360 118 3
1750 366 -1
455 1954 -4
579 491 -1
1831 1882 16
1193 2016 -1
912 183 19
1605 1314 18
1412 824 13
231 671 -2
2045 515 10
641 46 -2
1984 369 3
478 495 -7
712 583 12
772 773 -1
228 1373 20
1405 1076 -7
222 1451 -4
1290 1379 16
1985 2036 -10
1629 1746 4
29 1667 -3
365 937 6
1362 1210 18
16 326 -2
848 352 7
1487 1848 18
1361 2031 14
1705 1669 -8
1642 90 2
815 816 -1
1303 503 -2
1419 148 4
763 764 -1
1044 353 -8
1208 1031 -2
373 616 5
1295 1327 2
408 890 -1
1631 529 4
462 1023 -2
2020 1546 6
1010 277 7
2022 1520 9
1325 1215 -5
878 602 2
1430 1670 13
696 2007 6
1323 14 -8
427 1806 12
2005 141 -5
1515 2038 -7
1389 50 18
1133 678 3
1031 206 -3
1689 1390 -4
491 874 0
848 828 11
508 650 -9
638 1655 11
134 1868 9
505 979 0
1957 931 -5
215 1487 19
457 1632 -5
716 717 -1
1534 1486 -3
1401 357 12
1278 1021 4
127 1043 17
1854 1049 5
559 1606 1
884 611 -5
1899 1905 1
577 160 10
601 1479 18
1806 1818 15
626 1935 -7
1845 1675 14
785 786 -1
15 394 5
1959 1319 7
387 1099 12
1984 1846 -5
832 833 -1
970 1506 9
768 533 4
758 759 -1
178 1548 1
588 1124 -7
1108 157 13
1781 354 8
608 857 20
1410 1946 -10
1705 1047 -2
519 1941 8
1000 457 17
807 1347 -2
664 1898 13
865 397 19
538 1047 -7
279 956 13
80 950 4
879 111 4
816 1475 10
1610 1808 -1
1287 9 -7
529 13 17
1881 375 2
746 747 -1
421 1372 15
631 841 1
127 415 11
904 1486 -7
1710 724 6
313 460 -3
1371 1859 15
877 142 10
368 1590 17
181 743 -4
955 807 5
508 1968 -2
1646 1193 -6
1965 457 16
1553 1316 16
1854 265 2
1291 1971 2
1568 1762 -4
63 1480 -9
897 674 -5
122 621 9
1128 662 -1
1953 1581 17
1553 1666 10
484 777 10
149 1317 9
604 534 -1
57 447 -7
2011 1158 4
1544 2010 5
485 79 18
121 706 19
1790 1202 -4
850 882 15
1236 1349 0
520 730 5
2029 607 4
589 1998 15
741 742 -1
1164 1796 18
1648 2025 9
1659 220 13
1631 176 20
24 1016 4
1506 1511 -6
1439 1218 -2
367 807 7
358 374 9
1762 559 -7
1690 1869 18
1831 341 2
597 210 3
572 1808 10
647 1688 6
109 439 19
676 701 3
1301 1738 15
809 810 -1
842 843 -1
1264 86 6
597 1873 -4
307 1094 0
1675 1050 -6
1003 880 6
1369 579 14
712 1541 1
1893 1398 -6
990 548 13
473 1318 -1
1781 1366 -8
1704 1846 -9
709 710 -1
713 714 -1
348 1474 -9
2037 162 -4
1624 1043 13
1096 1933 11
1475 871 -5
1620 2008 -6
560 1594 -3
1095 836 0
236 110 16
1273 1895 13
602 1964 14
1655 393 7
950 940 20
852 559 -5
749 750 -1
1784 1969 -5
1140 1174 -1
95 375 13
39 1964 19
14 1441 7
653 106 7
291 335 1
1692 1697 19
1741 1992 9
84 1178 13
1676 1832 -10
1474 1412 11
1289 352 12
1833 636 7
1646 1712 5
1058 1193 2
1149 741 -3
463 47 -9
983 243 14
628 1755 19
1849 212 6
272 720 3
662 431 0
982 173 -10
336 1704 7
1679 1501 -6
523 1783 -10
586 776 19
1986 529 19
492 1001 8
816 1802 19
885 1265 15
167 631 -2
1054 1153 14
1511 117 10
406 154 9
157 174 17
1291 861 13
389 103 9
1220 1964 -6
371 762 2
1900 1226 8
1183 851 -8
107 722 14
1557 325 1
1759 854 3
20 971 20
813 814 -1
1978 1438 1
1101 701 16
347 923 2
1572 1830 11
811 812 -1
1150 1043 4
14 805 2
1166 1575 20
1559 1044 3
1274 1843 20
693 764 3
1244 702 0
1205 1249 4
802 1383 13
1751 963 5
547 922 9
1849 2002 -6
398 344 5
62 70 -9
712 713 -1
1946 1456 -3
1960 55 -6
905 1497 8
1691 1514 -2
1889 1423 -10
1928 44 6
2040 1776 4
147 998 2
1430 781 11
1554 2046 1
1138 1023 6
1100 401 15
1511 201 -5
334 1027 7
986 1684 19
1824 973 0
1305 806 18
263 1098 -6
1171 689 2
1682 0 5
756 757 -1
1446 7 8
1873 623 -4
200 678 -4
2025 559 5
335 574 1
290 2000 7
1354 1305 14
966 1147 -3
1852 947 4
1211 227 1
508 1694 7
1181 1503 14
1370 1553 2
1799 542 9
89 1203 17
1713 1345 18
1057 1112 3
748 759 9
1777 1688 7
34 240 -8
184 1163 9
96 195 13
805 27 14
539 799 14
1353 1690 -3
684 979 6
1824 1959 -8
1849 1697 6
928 1165 -9
511 717 20
24 911 -5
829 2022 4
1546 2033 -2
1077 71 18
198 663 6
2037 1589 3
620 135 20
232 1705 7
1059 963 8
871 299 -1
725 726 -1
1208 1604 -2
1124 356 -7
831 1651 2
1305 2 12
2006 429 9
566 863 10
379 966 16
1199 742 20
982 1119 -10
61 1215 -2
1620 294 18
1738 278 17
1206 1936 18
1739 125 3
878 1878 12
182 281 -9
297 339 -2
989 398 17
1091 1692 11
1348 498 -7
1576 494 2
858 557 17
1996 442 -4
1951 650 -3
442 893 -9
910 1642 -8
1905 297 6
112 601 6
259 1991 9
484 1523 10
1843 664 9
309 1879 20
1419 96 4
995 289 9
791 164 20
478 1314 18
1487 1279 -1
107 1350 10
1493 1752 -8
1193 367 -10
1293 1056 2
1328 1076 -7
1217 1511 1
1087 438 2
1611 477 17
1141 784 20
1273 1063 18
14 1560 -4
1704 265 6
1805 1112 4
1487 1617 11
744 1427 16
743 654 11
1679 306 16
1144 1143 16
2013 1897 16
1081 1800 3
984 1527 2
1270 1861 20
790 791 -1
73 1698 5
1478 1536 17
1090 379 14
1648 1487 17
141 815 20
753 754 -1
1982 426 -1
673 137 -2
1226 139 18
814 447 -3
1497 46 -6
837 838 -1
1256 1844 7
640 1743 7
1027 1387 8
272 1667 -9
1528 1315 -1
702 703 -1
1491 1099 10
969 1071 18
1667 240 15
722 723 -1
374 1271 14
1415 1159 0
1556 805 3
1007 502 5
1370 980 -5
59 550 2
1031 481 19
93 1302 16
795 192 15
1808 1274 -5
403 689 8
770 577 1
941 653 17
1481 1068 13
789 1706 15
1290 1764 16
202 701 -8
601 336 9
1183 1226 2
826 827 -1
1950 1408 -7
1219 208 15
1473 1680 7
230 616 17
177 490 10
308 917 -7
149 730 1
1722 1065 -6
276 1657 12
94 1527 1
16 766 16
938 1017 18
207 1477 -5
535 2023 -6
391 1578 18
434 465 7
649 1929 3
1585 602 -1
1407 1792 12
979 927 6
120 466 -8
1947 1528 19
953 1901 19
206 1295 8
651 1669 0
1464 1797 19
1661 1737 -3
545 664 -7
469 278 15
2047 654 -1
747 748 -1
834 970 12
1341 133 1
2003 216 0
1518 1839 5
1306 214 -10
867 413 3
1188 261 5
1786 121 -9
452 1886 9
844 845 -1
1606 519 17
1704 1323 1
1159 638 -7
370 2037 14
400 1226 3
791 534 -8
528 538 -8
29 845 -3
824 924 20
247 1372 20
1267 1385 2
1958 690 10
1262 735 -9
403 1101 0
612 1218 -2
500 538 19
182 1778 12
27 899 11
817 1701 6
631 1515 -7
1674 860 -4
566 1344 -5
1283 1036 10
1229 1783 14
48 1850 16
1991 519 12
2005 2035 15
178 1722 14
1880 746 6
1535 1912 16
947 1573 15
1837 2002 17
504 760 14
419 368 2
695 1352 17
1271 1726 9
236 1096 17
1182 353 5
803 804 -1
1583 1754 9
1224 1412 16
713 2030 -8
1654 590 -8
1851 1946 0
1280 456 -7
504 1226 -6
1786 946 2
1793 1542 -8
1339 140 1
329 209 11
1009 2018 1
1607 1654 -1
1267 1745 13
936 1639 9
1074 1089 -2
714 715 -1
1361 1422 -2
422 1040 11
1485 405 14
309 1914 5
783 784 -1
1659 1360 19
1471 1236 -2
1076 110 4
1005 1888 1
1112 1477 -7
1012 813 16
247 344 7
288 889 9
1010 642 3
1917 1370 -9
213 1511 20
1113 939 2
843 1453 9
1810 1572 -8
466 193 14
458 1226 -1
1986 91 0
458 54 -3
713 1792 -2
834 835 -1
1885 1707 18
1048 1830 10
1245 1005 11
1586 1029 17
1365 544 0
1289 1984 -3
1568 256 -1
686 365 8
1506 1603 -10
1980 917 1
388 1558 -5
1641 116 18
1351 889 -4
1313 964 18
2 1523 2
778 779 -1
1569 1057 10
501 1799 4
1801 763 -1
1830 886 1
748 2033 14
1276 1792 18
42 45 -4
1889 1448 -7
1750 402 -2
385 196 7
1536 607 11
323 509 1
455 633 10
523 1191 2
612 1472 10
184 1828 17
944 264 -1
1888 330 -5
465 906 6
318 1552 -7
786 1252 7
1983 1507 8
20 1030 -7
1985 1134 17
722 1432 6
600 1995 10
568 197 4
715 716 -1
828 1898 -4
783 1868 -10
432 795 2
127 251 -4
596 637 10
625 1964 17
1222 735 7
1014 342 1
1892 40 -7
1527 1652 -7
67 354 6
1883 1811 6
1473 660 17
1145 1542 11
1631 1197 5
800 801 -1
736 668 3
756 1886 10
1770 1790 11
160 338 6
921 2016 16
1408 1830 7
1212 1667 18
271 1035 3
1210 1835 -7
139 512 8
1113 344 3
2047 1065 -7
719 774 -7
1627 1039 7
2024 446 12
1577 1267 -7
1327 668 -7
1218 1990 -9
1109 1693 13
11 1885 -2
806 807 -1
1826 2037 -6
965 1084 17
1160 1586 3
817 1436 9
805 806 -1
314 319 8
445 1924 -4
1126 940 6
692 1473 -7
390 993 10
1061 1880 12
485 1083 11
959 689 -6
1396 882 -1
1007 1933 10
114 1836 11
560 1426 -4
308 530 17
1182 269 2
1572 1388 8
1959 880 16
1288 686 -8
739 567 3
1073 902 16
123 568 14
812 1851 4
1206 1675 -7
1019 646 11
883 392 13
1802 817 20
1979 919 10
859 787 -2
838 839 -1
414 1611 14
467 1824 17
1069 1735 -5
1852 42 11
730 731 -1
2047 660 12
795 978 -1
744 975 8
525 52 7
1917 1967 -8
429 1742 -8
1955 1272 0
1817 2004 12
1309 620 14
1937 1764 -3
1320 1381 -5
792 793 -1
1763 1070 -9
1831 31 -4
330 1418 -4
55 1472 2
994 1071 18
336 15 -9
370 31 16
157 883 16
1623 296 1
1143 161 6
1112 1260 -6
1254 1935 -7
1028 65 19
735 1342 8
0 1746 19
2025 1090 8
207 1338 5
1070 1569 0
2040 283 11
543 2002 10
1947 2010 13
1593 1533 8
1999 6 1
1677 1502 0
1380 664 7
274 1487 18
1496 141 17
242 1244 11
673 1672 2
591 767 18
544 889 7
305 974 -6
1749 135 -8
835 836 -1
1452 1960 13
0 1095 20
631 937 12
131 1434 -8
1527 1949 19
210 1181 -5
772 1250 20
1914 613 11
170 1608 9
1281 1648 5
1377 1011 9
557 1864 10
925 1814 2
767 768 -1
629 1432 12
269 546 -1
1294 1339 4
1598 503 20
518 751 18
1560 294 16
32 1599 9
413 1304 -3
2004 554 5
746 179 -5
406 966 12
1046 1858 -2
1779 1143 -8
1540 886 3
208 164 19
791 792 -1
1901 1327 5
859 190 16
261 1312 20
635 1017 18
536 1598 -10
1060 1310 7
1730 1671 -5
99 1267 3
1716 1490 6
477 329 -10
1442 1524 13
723 724 -1
72 326 -4
158 809 9
590 606 3
55 1228 -6
957 336 2
1186 1345 16
1208 482 7
922 420 13
1210 873 18
1808 68 12
1683 1618 -1
470 536 -4
1218 1149 14
1550 757 6
533 253 -6
1437 1982 20
140 211 0
1032 1088 8
1264 447 18
1671 639 13
1955 1342 -7
572 921 8
909 1356 6
446 1680 12
573 1413 19
649 916 -7
760 761 -1
2024 684 12
351 1039 -3
1144 710 20
1143 74 3
1109 662 11
1329 1746 0
395 1754 20
460 1922 20
361 462 -5
1438 1404 -10
1220 1526 6
300 104 16
1611 658 10
303 1251 5
377 592 -9
480 1046 -6
462 1303 -2
1577 938 18
1366 1035 -5
653 1672 10
1695 776 13
484 1076 14
434 1366 -1
1592 1954 12
1200 831 11
622 1997 20
22 1223 14
380 898 0
995 450 -1
1631 1814 16
1547 500 11
1034 1543 -10
1018 0 16
1790 945 16
1059 83 9
608 1441 14
1470 332 1
149 1837 9
1098 1107 -5
973 346 10
366 1946 13
1297 820 4
845 1722 3
164 1572 1
1642 1144 13
1245 1778 1
426 577 11
1215 1893 8
31 590 -1
511 1479 16
1946 1901 -7
567 1728 -7
1077 473 16
370 817 -8
92 688 12
97 1829 4
1527 2020 3
1734 2035 20
195 191 19
779 1818 13
770 1865 18
1526 1161 20
1282 1333 -1
1527 1611 10
1328 807 12
1929 1232 7
437 1897 14
828 829 -1
1479 1381 19
747 241 12
1075 395 19
1546 1725 19
1501 1382 14
781 1934 -1
1555 1541 4
1367 1135 8
14 781 8
315 1328 -1
2044 1808 16
1512 1045 20
1889 500 20
572 1263 -7
1969 1172 18
1097 2044 7
1910 231 -8
431 1634 19
