2048 22665
456 2004 14
537 1437 20
56 808 7
1488 1195 14
494 706 -6
150 281 -8
226 216 4
124 1418 6
980 1687 16
461 638 -9
126 270 -6
619 1487 -5
452 1571 7
1391 1325 18
337 815 -3
1415 174 -9
365 1799 -4
1662 910 -9
1776 1958 14
1777 177 -6
1170 1967 6
298 1410 3
19 639 -10
1665 327 6
1776 1423 0
749 7 7
923 1096 13
1660 1933 3
1391 1953 -3
233 556 -2
1248 1316 5
1940 1627 11
653 286 -2
128 824 6
831 1584 -8
1317 401 -7
1030 123 -3
1588 1557 -4
227 1305 0
1452 1187 -6
1479 1702 -4
1729 1538 3
1235 1533 7
906 99 -7
1557 641 14
1657 120 18
1084 1922 -6
507 1037 -7
1785 1183 2
735 92 3
1792 1333 18
592 1432 -8
238 1853 9
645 1638 19
894 1061 -2
1396 1338 2
717 1667 -6
1834 720 -7
1442 1470 -10
1437 60 -6
759 1275 4
1550 1091 8
1328 1258 19
1105 1791 -6
1476 81 5
665 2046 19
1868 357 17
156 591 20
1324 588 -2
1836 1863 -5
1869 1376 -7
399 998 16
1459 524 15
69 1558 -10
707 346 10
251 1603 19
1177 390 9
1497 1791 -1
1222 570 -5
623 1965 15
834 828 15
1773 96 13
1153 1455 13
622 1153 -3
995 1088 7
886 1740 -6
765 204 15
501 1219 -7
878 1642 -5
114 183 -6
1074 1246 14
556 228 1
1214 1751 -9
583 1889 -4
1866 1680 -9
1130 464 -1
262 1190 15
347 263 7
567 834 -5
623 58 9
374 1006 20
1267 72 11
1144 165 1
732 1835 16
1583 258 16
80 1236 -5
1320 666 1
1525 1481 8
1641 2024 -4
1543 347 8
71 844 20
1691 1124 15
1506 1046 -6
1441 692 -4
1868 396 14
899 198 -9
905 1134 4
1907 1101 -3
234 364 -3
1212 1466 11
1387 1916 5
702 1490 -1
1057 798 17
351 477 14
1501 1006 14
522 1568 10
648 1038 -9
407 420 0
1514 339 1
446 1900 -1
1496 1597 13
212 173 9
254 1303 12
1283 174 5
1212 479 11
1099 1610 -10
1492 1982 -1
1243 83 18
728 1336 1
433 331 0
156 1632 20
1404 1059 1
23 1715 0
567 1803 9
624 1125 -9
1522 624 3
824 1347 -5
1480 445 -3
505 384 14
1524 128 3
923 766 -3
640 503 19
348 2033 -5
1542 571 13
1608 1527 16
1136 1918 -1
1386 1782 17
1487 1815 5
576 859 0
400 1364 -7
520 1425 -1
1211 68 9
7 206 -5
1541 1279 14
2012 385 -5
212 1043 -5
113 7 16
1172 1307 -7
1848 1658 -5
2013 684 8
1708 170 17
1893 1826 11
1099 422 17
1712 2032 -2
397 1125 -3
1275 122 8
133 1377 -8
729 1706 8
31 333 12
1395 703 12
1354 303 3
626 253 18
1385 1658 9
1019 1873 6
986 513 -10
1601 521 -4
1918 1760 13
150 545 -9
1664 1704 19
527 1247 2
1483 1647 2
1550 1975 -2
1785 1177 8
1866 1191 3
667 1390 7
56 647 -4
1574 226 3
1502 527 7
1006 1556 17
1647 885 8
245 364 -1
1871 502 -4
1915 104 17
1610 422 4
1676 627 -4
26 344 18
1539 90 14
671 1416 12
952 1090 11
846 636 5
471 545 18
701 804 14
1940 1330 11
1125 1884 19
1196 215 8
1509 1954 15
1404 996 18
871 1365 19
157 850 0
1800 1564 4
52 1469 -8
1858 1551 20
128 836 -9
1223 1959 1
596 1442 -4
610 430 -2
878 661 12
423 670 1
2038 1780 19
1432 1592 4
1932 767 15
148 1330 13
1442 206 5
1321 73 -1
31 1003 20
408 1838 13
121 1405 12
1075 245 18
719 651 -3
732 1807 16
929 576 -2
584 1278 0
58 56 19
478 1603 -10
1776 832 -1
1860 310 18
955 781 -5
244 192 19
731 2002 9
370 54 10
1659 1220 -9
1280 968 -2
1440 747 8
479 1343 19
441 976 -9
1908 2042 7
1457 995 17
764 111 -6
1110 698 -6
137 669 16
1379 878 11
1402 40 9
1955 448 19
1467 552 9
984 215 1
1890 957 15
1902 1707 2
135 532 19
1834 894 6
371 863 -9
330 1776 -8
360 485 9
984 1171 -7
1727 326 18
1822 10 8
783 886 -6
1397 1299 -1
648 34 -8
240 534 14
481 1156 16
1166 1027 10
87 708 12
498 175 20
949 1917 7
1499 236 1
606 264 20
1228 1547 3
974 1930 16
1705 1686 4
528 1541 9
812 1110 17
1814 985 11
646 520 18
1789 887 19
1163 334 13
1180 1583 -7
1582 446 6
2034 1643 3
65 31 -8
1616 174 11
949 300 -5
593 300 20
1740 1408 16
1533 1763 6
1014 1139 0
941 1646 9
1627 526 -3
646 1555 -2
315 98 -3
424 441 15
1697 1767 18
356 198 0
1837 687 9
1041 279 19
2008 138 15
95 403 7
1021 1654 11
1337 1024 16
275 1006 0
907 301 -6
1747 242 4
1173 901 15
455 480 15
902 941 -6
1910 633 2
1945 1979 -2
668 1185 12
2031 289 13
828 1981 5
1234 1642 -5
368 960 6
553 1365 19
820 1857 8
1349 1782 6
1196 564 0
1105 737 8
1938 1816 -8
7 1933 -2
459 700 -8
124 1395 17
1114 1765 -8
1053 1938 7
807 1659 -3
1077 1885 16
848 527 20
1174 840 11
262 462 -10
1078 1633 17
1823 1603 -7
741 1217 -1
484 880 -7
1125 955 18
967 558 5
899 1545 0
1537 465 -2
17 879 9
75 123 -5
197 142 6
557 690 9
1645 1749 -10
1435 779 8
2042 1491 12
1491 261 -8
1868 1633 17
1727 627 -6
1224 1365 4
68 1283 1
1054 1719 20
1604 1467 1
1736 956 -3
324 654 15
298 1262 7
1259 1620 -8
1375 1861 10
218 456 6
781 1571 11
1424 1113 -10
1502 1390 16
595 1523 9
1138 1600 2
599 1801 14
2013 1507 -4
1687 1674 -3
19 526 8
1821 1412 -10
979 1704 0
432 1697 4
751 121 -10
1310 965 17
2042 1416 10
1944 1657 1
716 1826 -8
994 2016 -4
1889 701 -5
1089 871 5
1263 1578 -10
876 892 8
1874 223 7
746 486 -9
282 1852 -1
933 1426 -10
1766 1553 4
160 1529 16
1223 987 -2
1285 103 -10
1253 618 8
1553 1478 14
674 1774 20
1668 1990 -10
2018 1953 16
1177 624 0
587 1417 -4
1216 898 -7
1175 1533 -1
646 820 1
1100 764 -2
1646 555 0
1661 635 4
686 1735 -10
1624 1057 3
517 15 2
1711 575 9
819 1773 -10
966 1505 17
169 1652 5
1280 1856 -2
1940 605 1
1612 775 -5
597 1811 -7
1882 558 12
503 212 7
767 1354 -7
1868 2007 17
857 1447 3
1973 1400 1
1930 1428 -3
705 726 -10
1575 1690 17
1318 878 -6
942 1943 7
708 1679 -6
1690 1530 10
1198 190 7
761 1170 14
367 613 20
1419 1959 6
1287 869 -3
714 351 17
849 859 14
120 664 20
721 1211 2
132 960 -6
1819 1297 -8
605 1613 3
343 1799 12
1041 746 -5
648 767 6
1742 372 -3
1698 352 18
666 1874 1
145 1520 -4
857 1497 15
1731 1478 0
1412 1463 14
1233 448 12
794 1427 -9
604 1408 20
429 367 20
54 1881 8
159 1388 -10
1135 1976 16
743 502 -10
745 1771 4
509 144 14
875 1620 -4
1973 1971 13
1918 1642 10
818 377 15
372 1302 15
324 1037 -5
863 76 3
701 1049 9
2033 1782 10
940 173 18
117 1668 10
1147 1353 -8
603 1471 16
615 533 4
1048 1465 2
1732 882 14
1092 2024 19
1297 353 19
1849 1227 18
1478 1145 14
1701 180 16
97 348 2
973 1159 -9
289 1263 16
108 1676 -7
1895 709 -2
892 936 13
1986 1144 6
1605 923 2
263 994 14
906 785 19
1540 891 -4
1448 1195 -10
1461 1862 -6
516 1609 15
516 1548 20
1827 574 -4
370 1503 9
47 1079 2
580 22 11
1000 2032 5
1542 66 8
1581 1054 -2
642 1740 11
665 1548 20
382 825 -7
1008 730 -10
730 849 -2
1874 364 20
1256 909 6
868 1116 9
1306 677 6
759 1429 13
1870 1296 14
2007 1379 4
1125 1746 18
1471 1298 16
240 238 -4
1707 379 15
779 1367 -8
256 1040 -1
708 1845 -7
1343 315 3
678 1748 5
1085 314 1
1586 1953 -3
26 1210 7
632 1015 -7
365 214 11
268 1452 4
1881 1618 11
3 934 20
1164 1568 0
459 981 1
1114 408 7
1514 1645 0
615 1766 12
16 560 -6
1193 666 -5
1287 809 4
675 1380 -6
1369 1070 -9
1578 347 -8
972 245 -9
271 1122 19
515 429 11
135 1419 2
2014 596 14
555 394 15
640 1858 -7
2012 1675 8
1519 1440 -6
1784 526 1
216 453 18
1184 928 13
988 1714 13
1025 1402 -4
1637 286 7
1239 117 0
263 1490 -7
1961 726 10
458 1614 14
629 470 -5
245 2017 14
951 1023 -6
1332 191 15
788 1706 3
1066 964 -7
1566 838 18
212 1744 4
1241 306 9
836 274 12
1297 1866 0
1435 1435 11
1187 1152 4
85 1025 0
582 274 1
1080 1033 4
374 569 -5
646 654 8
393 109 4
1103 1305 8
294 1166 -5
2025 1771 5
1669 654 6
2042 1387 20
582 119 7
413 813 7
1485 1762 -6
1924 19 18
1875 1074 -8
1576 566 -9
1329 1589 10
356 1691 2
1820 1531 9
1552 479 -9
1855 4 9
631 88 11
1652 1805 -3
1723 617 -4
1558 548 6
642 1266 13
1818 1752 -9
1928 1829 19
370 1683 19
230 1582 18
2024 643 4
1325 1122 5
1012 926 -4
1445 1278 1
571 1188 -9
1875 1687 20
945 563 11
661 1482 9
161 318 -4
1135 1745 12
510 1671 13
226 2047 17
713 506 5
2018 94 -8
1658 1772 5
1737 1240 4
678 1705 -7
1620 954 20
347 1259 4
402 364 18
1765 1530 12
1101 697 -6
252 1192 -6
1998 2040 20
1681 631 14
788 501 15
1703 1655 13
2002 1134 2
516 1989 18
1996 890 6
1695 1722 -6
1650 61 4
1296 1052 -10
203 1711 7
1905 2045 14
514 354 3
1646 516 -6
1341 391 -8
1147 851 -2
1418 174 1
102 1617 10
761 1769 7
1980 754 0
72 857 17
1727 1632 -9
1699 1628 -10
1758 781 -2
1386 967 8
1513 659 -8
514 246 20
1920 1265 18
12 1433 13
1896 265 -6
1187 1926 -10
1736 99 10
1903 247 -7
1923 1186 -1
686 1535 -6
40 1848 16
1916 283 9
45 1074 14
1543 39 2
1904 1845 12
376 545 1
1331 1540 6
1448 897 7
532 1576 5
263 525 2
1447 913 6
1853 631 9
959 1094 4
358 285 -2
1676 385 18
1792 1227 12
535 199 10
1764 1360 -5
706 2017 8
471 319 6
977 1215 -9
161 1334 19
1075 1702 -6
1451 1154 -6
1784 63 -6
1674 1530 -8
574 610 0
1035 350 -7
634 1452 15
1940 172 9
355 1348 0
768 1567 4
1779 1886 0
1080 723 3
47 85 18
50 838 -9
701 892 -8
302 1586 19
1386 241 15
571 1902 13
1335 534 -10
1644 985 16
895 1667 -4
1098 1150 16
1364 388 -2
1633 1647 -4
1323 1156 14
2044 527 -9
1895 1277 -4
366 1982 6
1897 1205 4
375 287 2
1581 378 -7
421 1407 4
1180 1435 15
455 1271 10
795 1228 -4
709 358 15
1278 315 13
892 1369 2
489 764 -10
628 112 3
72 23 16
1411 1518 -10
862 1506 12
1214 1388 9
1186 1128 10
68 1774 5
861 776 0
205 712 15
1740 412 -5
253 784 -3
1584 960 -8
490 1949 -6
1933 1042 -10
1886 1716 4
275 899 0
179 1020 -9
604 1300 3
356 1102 -2
515 141 12
158 121 11
333 1813 18
378 533 16
712 693 0
1454 1272 2
573 1579 -8
717 1260 12
832 1169 6
1651 695 12
320 206 11
2031 1168 5
1774 714 -7
1607 1435 13
1098 1234 -1
1967 1283 -6
450 1468 16
966 191 11
1052 1186 -5
1078 312 -2
41 337 -1
1933 570 14
1650 190 -5
101 767 -4
1624 1822 9
1847 560 2
1386 374 12
1902 1074 15
724 1726 19
149 283 -3
54 1256 4
689 1311 -4
69 110 20
300 346 -6
260 1335 -10
473 1080 12
636 1513 1
1523 2042 -1
1069 780 -6
310 762 5
705 1414 10
1869 195 0
1181 82 2
603 1051 3
1889 911 13
1349 389 -10
386 1837 7
763 1782 -5
631 1507 7
8 164 -9
311 314 4
1536 1082 3
1018 1486 -1
167 737 -9
1394 781 16
748 2001 18
775 1063 14
1549 1131 5
1196 2024 20
1908 1038 13
623 939 -8
573 293 0
1233 440 20
1882 539 13
1155 1433 -9
976 57 -10
808 340 16
1675 929 1
543 1166 3
1966 1756 17
1412 760 16
377 440 -2
244 417 -4
1804 1635 20
172 767 20
1977 1296 13
1306 1986 -2
1446 390 -10
7 1759 12
1247 864 7
469 335 -9
1084 1267 15
651 1642 8
921 1551 7
1445 1016 3
849 1814 -7
230 323 11
1802 1568 9
1428 1748 12
546 806 -4
237 1182 4
1640 355 7
956 1731 -3
1509 882 -4
582 1339 -2
1752 1241 16
1302 1285 -10
1347 1773 2
81 420 1
1929 103 8
649 1051 3
1046 1528 0
1371 166 0
1039 1982 -1
306 1757 20
870 623 10
773 12 5
257 1161 9
1520 1500 7
418 1781 10
1009 1954 3
1748 1496 9
51 1785 4
1819 387 15
686 1129 4
1786 204 15
5 838 3
709 1326 7
485 23 5
1846 1667 8
857 1820 18
816 1848 18
453 209 8
1858 838 -4
1682 125 15
1987 858 -8
1707 1323 -2
1187 753 -1
1110 1963 -2
1595 848 -9
1301 96 0
202 1698 17
148 1544 17
99 1444 18
1737 717 -7
1391 1956 17
723 1840 -9
1557 1982 -1
1344 691 18
810 925 10
956 84 -4
1905 1836 1
1368 301 15
1618 1526 14
490 473 -4
859 1582 14
58 1903 16
1562 651 16
497 1841 11
1593 1924 5
1416 64 7
489 1427 -5
1452 248 17
1261 1403 18
715 442 15
248 1233 -9
1738 1361 11
17 53 0
1051 831 -4
50 1531 -6
155 643 -3
881 1848 6
526 958 7
583 1642 -9
1302 1998 -10
1486 569 -1
230 1063 -6
1554 3 0
302 147 2
1232 1322 5
1270 555 -8
1836 1893 -8
1111 1443 4
331 897 11
85 1848 -4
1233 1875 8
1874 230 16
1973 1738 -4
1478 1972 2
754 1379 17
1600 1840 -4
231 1135 -6
1254 1656 6
410 999 12
486 1119 0
1811 1733 -2
919 143 3
1669 1307 -9
1084 1465 2
773 1370 12
171 1327 9
1277 912 0
1084 1668 7
1438 126 -3
980 1528 12
2040 984 10
1257 741 10
397 1039 4
1739 875 16
623 882 -8
925 1277 4
335 1417 12
958 428 12
513 247 8
407 65 -2
1384 333 4
1279 379 5
1991 390 6
1219 1817 -7
1762 816 -1
491 368 16
889 1900 8
971 1724 12
518 1606 -7
1303 886 4
1218 1559 8
351 1354 -6
1369 2031 12
1985 650 8
1759 1852 12
704 1579 -4
217 547 -3
1653 1204 10
638 1351 19
1426 166 -10
376 250 -2
765 1348 1
468 1795 9
227 1220 2
1241 1918 5
1935 849 20
767 137 5
1398 615 8
329 1972 -5
1841 110 7
1183 1389 4
340 1701 -7
1536 487 16
1903 943 18
175 39 -8
661 874 14
1945 1847 -8
1855 1243 9
424 703 -2
1386 1357 7
1230 866 -4
1844 1010 16
1496 1212 -4
366 945 -1
1911 465 18
1761 225 5
1279 589 -9
558 1823 20
1476 486 -5
912 1924 12
1066 184 18
1782 482 6
1977 1667 8
1059 988 18
980 1027 5
1501 1764 0
1258 1246 19
1610 657 11
1082 481 20
1554 712 4
1656 1667 15
230 426 -7
1022 1503 4
1384 840 -2
332 681 -1
1979 1418 -6
1279 718 16
1311 208 19
1169 697 2
1117 1581 -6
887 1395 10
501 1626 11
118 1563 7
84 164 7
853 1132 -9
877 907 -8
293 323 -2
1168 206 -5
2012 357 7
1629 1294 -2
510 1020 -6
532 1880 11
380 1916 4
1726 1840 -5
1304 755 16
2014 2039 16
1519 753 0
1198 1725 1
761 134 10
532 995 6
1687 1553 -8
201 1049 13
1683 206 2
1653 1174 17
279 1891 17
937 1185 7
386 1257 5
510 709 -3
1583 1300 3
1211 1603 13
1156 396 14
986 1439 15
733 416 -6
1092 347 14
56 1225 9
399 1604 18
1968 1474 6
1202 1233 12
539 1821 16
102 904 4
622 925 2
1831 112 -1
447 957 18
26 488 14
1513 1834 7
1858 391 -2
588 1056 6
708 972 1
1054 2020 12
560 1477 20
1084 719 6
1542 1535 9
1679 1969 -4
1267 81 3
850 364 7
374 1131 -2
225 787 7
1521 1321 8
1243 1536 4
1613 792 9
441 1680 4
1471 1724 6
553 906 10
1104 1895 14
1490 1375 6
814 458 -4
843 452 20
2045 1418 7
354 1363 -4
1686 890 13
1553 54 11
1529 1607 -1
943 1035 -7
98 1468 17
1343 128 11
1977 237 13
236 346 4
1756 1504 -5
1039 995 19
1391 1429 10
1624 756 13
1849 375 -1
493 17 20
311 925 -4
1177 1370 17
1511 1385 6
621 1846 7
1922 97 7
1109 1543 17
534 855 3
1424 1862 4
194 572 -3
274 731 7
132 307 14
1079 1161 -5
86 958 -2
1615 711 -5
396 1820 18
1255 867 12
1207 814 9
739 953 9
1649 1919 16
1215 1383 4
1251 578 2
1684 457 16
487 1386 7
182 1438 17
1801 541 9
1531 933 -1
2018 1331 4
792 20 -8
1142 1929 17
150 57 -8
162 841 -8
322 164 8
1728 885 -5
1326 419 13
767 1369 0
1436 1284 6
560 945 19
107 341 14
497 420 -9
471 1555 -9
372 2023 -1
436 395 4
354 159 -7
1384 1121 -3
1668 1757 -2
588 2032 -9
1590 1228 6
1092 1023 20
1236 2025 9
682 1419 0
1435 1239 14
477 904 10
187 1203 1
536 2031 -2
1934 1012 5
1116 624 -6
35 1842 17
1166 1954 -3
173 1143 15
1055 651 14
114 2016 -10
720 1996 17
1859 180 17
885 224 -2
1463 63 12
197 804 0
1937 1560 -5
664 430 1
1816 1425 5
1562 535 9
857 1672 16
1002 959 -9
1147 2003 7
1303 1594 16
176 1017 0
1139 1772 6
371 250 14
961 1778 7
1028 592 -1
1179 496 2
364 113 4
816 865 -10
363 891 5
1315 881 8
282 1745 16
305 1427 9
302 463 6
1129 588 3
286 1506 3
30 745 7
917 1188 -4
2012 288 11
1530 210 18
253 1477 18
2036 815 12
1468 284 -6
310 180 5
983 1142 -3
758 415 10
791 12 12
2003 315 -1
603 357 3
40 1146 -9
512 1441 7
496 438 -10
179 128 5
712 1592 2
1040 1024 10
1978 1615 10
164 1510 11
462 800 -3
1314 1934 12
1944 1407 4
748 468 -6
827 1890 -6
585 506 0
407 1492 -3
727 1487 7
673 886 -6
277 1162 -8
1042 2023 6
35 1810 6
1778 691 8
775 1450 -7
1446 151 4
790 570 1
909 51 3
337 1457 12
85 1930 3
1756 1071 -7
133 1509 1
1234 1782 -8
504 1509 -5
1573 1109 12
1588 498 2
1617 1298 -10
1514 330 -2
1535 1012 -4
0 1621 3
759 1911 13
1009 1810 9
752 1763 19
619 1717 17
274 817 -9
111 972 -1
1111 379 6
97 133 -10
264 2042 11
458 757 18
515 1978 3
957 351 2
1689 1156 8
1816 759 19
20 438 3
1308 1948 -5
1624 1538 -2
1038 359 1
1298 325 20
1765 311 3
875 1783 12
1578 891 -9
1611 1258 11
1944 1251 -3
386 323 10
1823 1737 -9
1649 1025 3
1878 362 1
1812 1898 -9
129 1606 -5
627 46 12
1201 1863 11
993 295 -10
1201 1917 2
155 2 1
1205 135 6
1955 1840 13
265 1038 -5
1512 1774 14
566 732 4
1302 587 0
1355 874 -5
1453 1645 -10
91 2 -5
1323 401 13
1095 204 13
1898 1132 9
1130 86 -1
1671 1024 -7
459 378 -4
1770 765 -6
725 948 13
1346 326 -6
463 1853 -6
669 1340 10
901 1168 -1
1757 1484 6
1249 798 7
1078 1408 -4
358 343 -6
1667 1537 11
1485 1122 -10
1928 198 19
307 7 9
1412 1257 -5
1169 1991 6
925 858 5
898 13 -9
1038 485 6
639 767 8
536 710 12
1554 1630 -5
1581 451 10
947 108 -4
204 255 8
83 2008 19
260 1800 12
439 1821 3
412 1229 3
1845 1498 4
1101 1404 0
884 777 8
1173 890 9
1077 289 -4
1038 1270 -2
1628 394 19
73 1983 14
933 1765 10
1692 1897 3
1237 1564 2
1133 491 -7
1596 1076 2
725 1583 -5
1511 853 8
694 1364 12
477 909 13
665 660 19
553 1063 7
496 1795 4
1451 192 -9
1417 1446 -2
488 341 6
1887 410 20
1356 1796 16
3 827 15
153 1843 -7
601 648 -9
1916 1369 12
605 1090 16
385 1954 19
1571 1136 -2
981 1311 -1
1120 1101 6
418 1098 19
1548 725 15
989 1783 -7
263 1631 13
743 1304 -7
1992 778 14
848 474 10
1656 1266 20
1171 1786 -7
14 1625 13
943 119 11
1602 331 19
1254 1753 19
1396 369 -10
1801 208 16
472 1538 10
17 1239 15
1417 1301 18
1544 535 13
1870 204 -3
92 970 -2
52 1026 4
1342 1221 0
594 1930 17
917 248 14
1355 544 13
1456 252 -1
1388 1175 15
444 19 8
119 237 6
1186 1822 11
1913 1613 17
235 1910 6
1862 1317 8
1701 1710 8
357 1496 1
650 161 12
1425 437 5
478 1894 14
40 319 6
1459 242 -6
1040 994 -1
921 152 -10
1794 1199 17
739 1701 11
1339 1205 12
1293 713 15
1530 1801 5
1250 1550 10
1122 937 20
880 1931 20
147 1454 16
756 789 10
783 1687 20
1854 922 13
208 906 6
64 753 -3
155 736 9
1733 1850 -6
619 1886 6
1152 552 -6
15 988 12
2036 207 6
593 1362 6
489 710 11
60 643 2
1380 1469 -1
1632 1978 -1
1116 1756 -5
541 601 13
679 1409 9
355 807 -5
1486 827 15
364 1950 4
976 784 -5
1869 433 -9
1013 1649 10
898 694 15
1090 111 11
1461 386 5
819 4 -2
115 1238 0
188 147 0
1170 678 20
711 1005 13
618 496 -1
