1024 5341
162 674 -5
468 489 -8
763 174 -5
748 1006 -7
84 627 6
389 234 3
424 460 19
226 339 11
22 509 -3
359 343 13
310 556 7
574 350 3
752 352 14
1014 945 2
273 314 12
54 737 20
540 790 19
727 1014 20
507 867 10
767 165 0
157 334 -9
792 233 14
948 274 14
177 219 1
512 396 12
430 673 -7
1004 487 5
602 452 -10
112 638 12
43 85 14
621 57 0
863 927 -9
511 31 10
446 357 4
643 207 9
795 979 -5
307 530 18
112 427 -7
431 729 -3
178 348 -7
207 56 16
669 258 -5
908 52 3
309 634 2
739 403 -10
176 535 18
768 479 7
1019 920 8
790 350 18
802 111 -5
167 183 14
317 890 14
50 620 4
180 441 9
636 634 15
756 170 8
240 192 6
235 597 -9
201 762 11
1007 36 6
5 366 13
716 291 -3
80 416 3
311 319 7
876 176 1
985 656 7
442 804 -9
423 734 20
756 588 9
843 734 4
575 906 -1
966 472 12
525 36 14
400 947 5
406 96 6
487 164 3
207 798 -9
7 229 -8
287 821 13
131 72 6
75 566 20
250 131 9
78 92 14
725 643 -1
533 992 13
987 551 7
602 482 -9
439 312 5
785 418 -6
451 378 14
294 716 1
188 797 0
381 498 4
551 7 7
367 661 12
397 420 12
575 77 6
988 580 18
55 231 -4
392 42 17
367 920 12
589 989 11
368 407 2
406 94 19
551 698 -7
762 834 9
1004 230 -8
76 1011 3
394 889 -1
819 116 2
644 1014 -6
581 904 11
274 917 17
534 780 -1
647 394 17
190 726 -5
30 34 1
710 908 -10
869 770 18
627 540 -9
187 810 9
748 1001 -9
924 405 7
696 199 11
945 899 -9
371 855 15
737 976 16
730 358 2
977 749 5
383 343 17
402 846 17
439 716 19
124 623 18
429 1022 -2
347 697 20
411 646 2
887 242 -5
913 391 -5
807 0 -8
94 127 19
493 30 13
876 284 5
585 729 -10
442 1008 17
196 884 9
45 736 17
235 889 -2
1009 397 -8
37 428 -1
939 831 7
437 402 -9
671 750 -1
582 80 3
800 377 -2
705 909 2
988 827 2
377 408 1
1000 364 1
447 521 11
917 283 3
377 136 15
121 162 6
356 915 8
300 478 9
1011 840 9
421 666 -8
23 166 -9
845 488 6
83 963 2
15 90 6
990 997 5
530 608 18
720 642 -7
491 820 3
901 662 -9
858 25 -6
698 970 -2
249 728 17
272 354 -10
358 960 2
1 755 0
195 666 -4
355 330 11
948 838 -1
9 11 -9
277 516 17
303 237 13
543 144 10
429 939 18
189 158 14
800 504 11
567 349 17
145 279 -5
132 252 13
836 748 19
734 119 -10
939 668 17
620 777 -5
957 279 18
547 29 20
788 38 1
299 402 18
681 716 -1
355 430 -10
267 32 12
998 790 2
337 485 -2
924 666 0
585 656 -7
561 459 7
144 635 -6
531 646 15
396 626 14
71 755 -7
646 483 0
810 701 -6
605 339 -6
901 352 17
382 491 4
891 734 1
804 305 15
812 837 -10
28 85 9
312 707 12
623 146 2
343 831 -4
714 659 -1
454 431 10
894 227 1
58 163 15
611 452 3
406 700 0
529 786 17
924 777 1
33 751 -5
582 642 -4
373 622 4
663 280 -10
708 894 -2
761 523 7
716 445 6
397 659 19
259 509 4
755 759 13
668 670 12
109 419 14
311 787 -10
632 234 20
411 801 6
295 871 -4
581 704 -3
485 62 16
184 420 19
620 953 -2
459 472 11
783 485 16
108 752 5
682 65 -1
910 959 -7
219 159 10
834 660 4
839 703 13
547 102 10
286 861 -3
932 384 13
28 661 6
221 645 15
182 244 -4
232 740 -7
820 403 -9
758 537 16
488 261 12
922 842 -6
197 6 17
0 800 14
252 555 -7
266 498 16
879 2 19
396 147 -8
791 358 19
536 109 -4
179 1007 5
540 932 13
855 711 18
319 124 13
437 81 19
326 825 4
564 860 2
992 42 7
53 220 -1
297 936 4
790 94 12
720 39 -5
971 183 16
277 691 -2
50 920 2
547 103 -7
866 527 -9
373 966 18
169 282 -7
58 763 19
759 223 10
255 110 0
226 543 20
10 303 7
401 253 -10
799 285 16
295 315 -5
686 740 2
899 872 14
927 540 -2
638 968 -3
47 46 1
225 720 -6
923 208 7
457 145 -7
914 305 2
63 870 16
932 304 20
288 959 2
547 55 19
433 486 -5
818 902 10
878 4 18
512 534 -4
510 481 -3
335 613 -5
586 262 3
999 192 -6
550 846 -5
641 234 16
535 782 8
68 43 16
790 851 -4
1016 310 6
95 1009 1
885 355 16
426 80 11
1016 810 -3
107 318 -10
352 1004 4
739 301 5
904 868 15
550 936 -9
55 349 -3
105 996 0
347 634 -8
818 949 -2
649 825 7
322 848 -10
509 118 8
587 935 20
140 784 -7
724 56 13
322 145 11
220 682 -10
169 214 14
536 406 5
235 306 15
735 319 -6
840 899 -2
288 44 -8
154 41 -6
249 743 17
477 1003 5
203 329 0
760 807 3
213 276 -10
307 479 17
710 215 -7
36 129 3
961 844 -10
759 899 11
965 680 14
349 37 0
902 158 11
647 753 -1
515 769 -4
499 220 12
395 585 18
252 527 14
1015 615 12
362 449 -3
44 938 -1
116 173 10
855 169 8
752 1 5
600 871 -3
677 226 -10
81 814 0
513 212 -10
361 473 -1
670 423 20
264 639 9
87 955 -10
327 190 11
479 948 -6
333 791 -8
279 250 9
703 30 -8
156 154 19
670 361 -4
314 88 16
32 125 -6
332 33 1
99 306 4
312 22 13
23 579 2
888 995 -5
103 1 1
1019 44 13
716 616 -10
450 297 -5
916 771 8
770 458 -10
316 98 4
820 261 2
754 19 20
980 782 20
729 339 0
970 688 3
226 512 14
679 770 16
351 110 11
65 37 -10
662 33 4
593 472 13
760 170 -1
288 253 13
468 278 8
366 360 20
659 938 12
263 909 1
747 224 13
210 489 18
641 490 -9
568 61 4
756 547 15
817 750 5
336 46 5
866 811 8
589 698 6
524 164 -2
236 551 -6
949 0 4
850 891 5
990 330 9
1011 615 12
546 16 -4
350 844 -7
902 752 18
343 902 7
1009 696 2
1 358 -5
247 371 -8
570 661 -6
648 1012 -5
642 743 -10
798 184 3
517 707 6
122 319 16
919 926 4
788 807 18
202 589 -5
462 175 9
355 530 -3
132 107 12
987 170 11
912 592 7
432 723 -3
862 103 4
170 503 -1
669 960 5
621 773 17
700 635 4
483 928 1
427 523 -10
618 553 6
276 248 -7
712 591 -3
662 456 -5
593 813 16
415 223 20
203 281 15
754 371 16
488 182 -6
776 481 8
881 487 6
972 525 3
388 172 7
857 659 -6
613 801 11
195 497 11
976 775 2
289 241 -6
475 673 11
583 505 4
960 984 -10
489 789 4
295 470 11
815 209 -9
719 154 4
473 56 13
925 823 -2
385 154 20
895 185 11
166 489 -3
938 234 -1
637 706 18
18 355 -3
958 395 17
51 180 1
490 546 9
389 142 19
438 532 12
45 292 2
164 857 0
717 841 5
755 515 16
125 1018 12
614 871 20
85 839 -7
919 418 14
17 477 10
723 140 -5
950 936 7
686 381 12
575 829 5
459 355 10
952 266 -8
665 289 -5
861 645 -4
748 569 11
137 207 7
697 537 -10
928 901 12
101 178 -2
60 944 13
607 805 6
57 29 -10
258 415 18
900 898 -3
243 957 15
685 558 0
372 281 16
688 71 14
868 965 12
629 701 -2
225 225 -5
746 119 4
719 913 12
214 616 10
171 251 -5
939 143 3
114 27 -3
769 782 16
900 648 16
129 475 -2
722 898 1
621 697 19
946 228 -6
773 127 1
42 454 16
884 975 15
158 256 -2
278 204 15
535 450 0
556 633 -5
931 768 13
858 960 14
641 617 -6
391 850 -5
20 536 2
1014 733 8
460 69 -6
174 851 2
654 674 4
396 815 12
575 812 0
665 254 13
895 644 -1
629 920 3
180 67 3
1011 713 -1
246 961 2
64 606 -7
641 56 -4
812 716 -5
941 348 19
873 502 -6
165 442 17
734 942 1
851 628 -7
861 273 5
54 60 -1
612 716 13
542 925 17
686 487 15
10 747 -7
184 939 -9
913 635 20
915 194 -2
931 1004 12
397 160 -9
649 933 1
162 462 8
864 986 7
173 189 -8
654 696 -6
464 543 12
481 383 16
916 766 17
87 185 -3
424 3 -4
698 465 7
332 692 8
414 176 0
714 650 6
604 47 2
138 304 -8
37 641 -1
423 82 -5
832 732 13
10 179 -5
8 12 16
634 406 17
84 955 -2
295 149 12
324 136 6
905 377 2
170 332 -4
189 692 16
136 540 9
925 654 3
94 998 18
579 544 -1
826 447 6
191 683 12
711 822 -7
291 771 9
716 337 15
820 496 9
482 1016 5
92 981 -6
833 1017 -3
186 274 12
762 499 -4
90 961 8
250 192 13
3 747 14
156 570 0
789 593 7
453 878 4
113 326 4
441 416 11
616 97 10
295 932 13
531 231 12
541 891 4
179 577 -9
1000 570 11
480 217 13
15 157 15
947 811 -6
735 219 8
562 252 -1
841 656 -1
416 488 -4
255 989 -2
900 974 17
282 784 -2
135 702 5
162 613 5
367 888 20
472 973 2
1002 668 4
21 187 -5
994 539 0
907 609 14
149 904 0
355 234 8
161 347 14
472 143 5
706 583 -6
357 412 8
256 300 8
811 190 15
624 334 0
521 819 4
992 476 -9
807 692 2
512 233 1
994 811 9
1001 353 -2
594 150 10
785 169 3
752 431 18
520 996 11
764 32 -4
412 530 7
688 377 7
43 909 -4
879 32 18
338 133 -6
359 493 -2
59 911 -3
349 568 8
309 618 3
682 888 10
858 631 7
646 212 -4
372 930 18
305 550 19
350 945 -3
680 360 0
908 299 17
989 642 4
141 90 -2
683 750 17
155 532 9
518 178 13
409 845 8
268 159 8
519 419 -9
777 466 -4
989 103 12
906 240 13
79 709 1
273 912 11
473 797 -4
527 207 -10
48 181 10
805 520 -10
491 64 -7
737 798 1
507 240 -9
626 993 8
847 783 7
8 112 20
821 600 -5
729 168 15
857 381 -3
513 770 10
624 422 2
700 363 -8
753 964 11
932 764 -10
360 788 0
516 921 11
78 810 8
851 744 12
353 330 -8
118 537 6
246 17 19
356 114 4
447 393 -10
822 168 20
1013 836 -9
975 353 8
230 279 7
411 375 -1
92 640 -4
795 213 19
852 1002 0
309 260 -9
1020 65 -5
133 194 -2
251 151 11
284 56 17
611 718 15
370 940 3
228 380 -4
122 194 6
23 647 7
23 676 18
769 812 -10
91 946 1
529 877 -1
357 899 15
81 26 11
179 601 -1
381 498 14
58 868 14
313 393 -5
176 351 16
943 769 2
454 358 -2
545 435 5
577 548 -8
615 848 5
826 419 -9
590 823 10
230 604 -3
73 485 14
183 107 -4
255 456 -9
953 485 7
406 486 6
373 452 14
202 19 10
701 747 16
303 933 14
306 294 11
311 752 12
869 63 -1
460 235 17
733 371 20
670 460 16
103 499 1
888 132 -4
131 308 14
61 86 6
195 57 -5
336 266 8
120 794 18
156 360 3
525 124 19
892 758 -8
970 692 -4
37 823 6
514 191 1
365 483 11
482 364 2
510 190 0
842 310 -7
87 292 19
379 967 13
810 103 9
394 35 -4
497 905 -1
712 733 1
991 1019 5
173 1010 -3
876 621 20
736 533 2
809 460 1
882 918 -1
176 2 18
109 293 0
191 799 -6
313 293 15
989 225 -6
404 585 19
292 991 -9
777 689 12
257 204 15
806 195 -2
2 895 5
997 362 -5
533 709 17
264 914 1
194 815 4
81 753 1
829 85 2
991 118 -1
367 323 1
287 254 11
832 21 3
0 802 7
972 480 7
381 820 -3
69 896 -8
406 195 19
179 231 14
67 835 -9
208 1019 9
532 945 -8
432 294 2
121 832 1
251 804 11
734 884 17
221 189 -6
295 576 9
1016 603 14
306 249 -4
768 717 19
96 827 -8
454 398 10
859 789 4
994 615 -10
400 542 -7
306 329 4
793 826 14
241 691 -1
773 817 -5
529 1021 15
330 631 17
536 95 4
700 171 -10
955 655 10
733 693 6
222 74 14
621 659 10
971 36 10
760 47 16
445 880 -4
728 217 1
276 298 15
615 818 -2
964 24 5
593 948 20
742 425 2
72 534 18
624 60 -8
649 573 14
129 715 5
1012 892 1
454 312 4
415 844 -10
217 938 7
48 201 7
180 183 7
614 146 4
652 345 0
916 226 1
425 729 6
1016 1016 10
32 564 -1
570 809 10
370 424 3
122 822 -6
129 107 19
170 695 2
87 445 16
817 438 -9
953 972 -7
5 474 15
374 45 2
453 170 4
1008 720 3
880 464 -2
94 441 18
211 363 -2
679 745 8
707 709 -5
239 822 -1
953 532 6
560 10 3
627 11 -4
368 825 1
925 95 19
881 886 -3
187 152 20
753 263 17
447 702 -9
985 460 10
17 964 18
995 187 -4
256 957 -2
930 82 5
711 579 4
245 184 -10
689 918 0
72 385 -1
0 863 16
48 81 13
672 22 9
840 210 16
469 634 18
597 951 -9
608 687 15
285 455 -8
200 196 1
630 290 5
983 220 -10
119 571 -7
104 824 12
979 834 -8
781 700 -7
446 1006 7
325 220 -2
502 231 20
819 1002 19
710 331 13
22 312 5
785 495 10
754 666 17
723 379 5
552 791 -4
151 368 14
1014 249 -7
719 943 2
778 892 10
536 295 -5
441 197 -9
457 425 10
886 231 5
609 543 -8
915 298 0
433 396 6
385 713 13
723 676 18
513 735 -10
81 741 -6
518 324 15
259 362 6
821 640 11
143 761 -9
847 295 -8
659 505 16
735 302 -6
993 79 7
260 40 -6
848 603 -7
313 869 14
16 384 1
345 355 2
395 520 8
344 541 -6
304 830 11
882 530 16
188 529 5
689 547 19
991 419 -2
794 654 20
596 651 11
490 440 15
956 187 7
420 902 13
225 318 19
226 106 12
554 83 -9
32 893 -3
360 398 13
514 306 12
326 771 17
706 137 8
766 425 17
709 719 2
805 121 14
398 586 -5
168 241 18
389 609 -4
338 775 -9
584 39 -3
372 940 -6
647 73 17
135 111 11
922 975 1
728 1001 6
73 831 -6
170 493 12
391 1007 1
330 949 18
779 436 -2
266 901 9
783 816 6
800 126 6
923 361 2
218 654 4
291 884 -8
425 967 19
357 336 -9
1005 895 10
714 336 13
139 268 -1
953 418 18
946 760 -4
660 972 13
862 247 19
606 576 18
115 532 19
319 89 1
394 452 15
344 846 -6
713 492 -4
423 786 19
93 242 20
1013 14 -3
355 622 7
499 822 2
879 555 -2
797 1017 0
759 96 -10
509 997 -4
826 884 -5
730 547 -7
136 687 -4
769 282 15
500 663 8
805 720 12
985 764 5
137 233 14
688 976 -1
1011 850 -6
560 360 16
664 249 20
693 439 4
128 37 9
847 926 16
277 67 -3
284 621 9
473 332 8
175 801 8
121 268 -1
176 522 17
175 237 17
255 728 -5
955 799 4
1 581 -9
602 43 6
988 982 -8
891 591 -10
969 868 9
300 579 3
465 366 13
622 300 14
900 614 19
1015 489 -2
145 119 -5
777 4 14
74 111 16
224 228 13
882 475 10
625 29 -10
495 883 9
870 488 7
45 101 3
161 816 -5
605 38 -9
429 179 -8
980 459 2
476 807 14
816 290 2
271 106 8
19 762 15
341 539 -4
402 858 10
484 53 8
170 929 14
284 648 20
89 958 -2
656 536 -5
298 255 12
843 978 -10
94 558 3
461 20 -6
751 1008 14
113 764 0
799 420 6
58 894 -7
861 566 16
830 934 14
