g 1024
n 45 0
n 88 0
n 39 0
n 75 0
n 58 0
n 86 0
n 30 0
n 61 0
n 69 0
n 62 0
n 73 0
n 61 0
n 77 0
n 14 0
n 72 0
n 97 0
n 18 0
n 59 0
n 31 0
n 92 0
n 2 0
n 31 0
n 38 0
n 3 0
n 42 0
n 2 0
n 80 0
n 38 0
n 78 0
n 58 0
n 2 0
n 63 0
n 80 0
n 39 0
n 8 0
n 40 0
n 30 0
n 53 0
n 9 0
n 46 0
n 39 0
n 16 0
n 95 0
n 39 0
n 47 0
n 69 0
n 57 0
n 81 0
n 29 0
n 67 0
n 32 0
n 98 0
n 82 0
n 13 0
n 21 0
n 36 0
n 14 0
n 7 0
n 89 0
n 12 0
n 95 0
n 96 0
n 40 0
n 50 0
n 47 0
n 90 0
n 60 0
n 29 0
n 80 0
n 62 0
n 97 0
n 13 0
n 69 0
n 76 0
n 55 0
n 78 0
n 85 0
n 18 0
n 95 0
n 38 0
n 25 0
n 25 0
n 17 0
n 49 0
n 23 0
n 51 0
n 74 0
n 89 0
n 30 0
n 68 0
n 42 0
n 18 0
n 42 0
n 67 0
n 92 0
n 37 0
n 95 0
n 12 0
n 40 0
n 63 0
n 32 0
n 25 0
n 76 0
n 9 0
n 89 0
n 19 0
n 49 0
n 51 0
n 99 0
n 93 0
n 52 0
n 96 0
n 55 0
n 8 0
n 3 0
n 18 0
n 34 0
n 21 0
n 78 0
n 52 0
n 49 0
n 69 0
n 30 0
n 58 0
n 43 0
n 82 0
n 98 0
n 44 0
n 34 0
n 52 0
n 78 0
n 38 0
n 43 0
n 93 0
n 78 0
n 63 0
n 75 0
n 27 0
n 88 0
n 81 0
n 77 0
n 27 0
n 60 0
n 31 0
n 4 0
n 45 0
n 79 0
n 78 0
n 46 0
n 55 0
n 2 0
n 64 0
n 24 0
n 88 0
n 6 0
n 88 0
n 11 0
n 39 0
n 53 0
n 5 0
n 5 0
n 49 0
n 81 0
n 3 0
n 25 0
n 52 0
n 23 0
n 42 0
n 28 0
n 98 0
n 93 0
n 12 0
n 46 0
n 11 0
n 13 0
n 49 0
n 41 0
n 8 0
n 6 0
n 79 0
n 85 0
n 19 0
n 83 0
n 83 0
n 46 0
n 70 0
n 23 0
n 84 0
n 58 0
n 91 0
n 66 0
n 44 0
n 64 0
n 95 0
n 26 0
n 91 0
n 7 0
n 66 0
n 64 0
n 29 0
n 83 0
n 31 0
n 30 0
n 68 0
n 39 0
n 25 0
n 46 0
n 97 0
n 36 0
n 21 0
n 28 0
n 86 0
n 59 0
n 32 0
n 10 0
n 39 0
n 85 0
n 8 0
n 11 0
n 56 0
n 94 0
n 87 0
n 8 0
n 88 0
n 97 0
n 16 0
n 63 0
n 79 0
n 7 0
n 66 0
n 18 0
n 58 0
n 90 0
n 80 0
n 35 0
n 18 0
n 61 0
n 96 0
n 13 0
n 84 0
n 45 0
n 24 0
n 67 0
n 19 0
n 41 0
n 40 0
n 32 0
n 73 0
n 35 0
n 17 0
n 69 0
n 95 0
n 16 0
n 19 0
n 19 0
n 31 0
n 63 0
n 58 0
n 23 0
n 87 0
n 98 0
n 29 0
n 50 0
n 89 0
n 52 0
n 45 0
n 93 0
n 39 0
n 100 0
n 95 0
n 73 0
n 6 0
n 72 0
n 60 0
n 48 0
n 49 0
n 90 0
n 53 0
n 86 0
n 93 0
n 90 0
n 81 0
n 100 0
n 90 0
n 86 0
n 91 0
n 19 0
n 58 0
n 3 0
n 27 0
n 81 0
n 41 0
n 84 0
n 63 0
n 81 0
n 38 0
n 73 0
n 94 0
n 57 0
n 13 0
n 41 0
n 19 0
n 78 0
n 23 0
n 49 0
n 100 0
n 43 0
n 46 0
n 29 0
n 78 0
n 78 0
n 7 0
n 43 0
n 35 0
n 70 0
n 47 0
n 84 0
n 13 0
n 95 0
n 27 0
n 41 0
n 31 0
n 14 0
n 84 0
n 21 0
n 34 0
n 56 0
n 33 0
n 82 0
n 94 0
n 24 0
n 65 0
n 49 0
n 62 0
n 21 0
n 94 0
n 78 0
n 1 0
n 1 0
n 63 0
n 53 0
n 6 0
n 76 0
n 56 0
n 26 0
n 9 0
n 49 0
n 82 0
n 44 0
n 30 0
n 79 0
n 6 0
n 11 0
n 94 0
n 13 0
n 2 0
n 30 0
n 20 0
n 97 0
n 3 0
n 3 0
n 26 0
n 83 0
n 30 0
n 52 0
n 84 0
n 98 0
n 74 0
n 91 0
n 99 0
n 72 0
n 71 0
n 14 0
n 54 0
n 58 0
n 7 0
n 27 0
n 37 0
n 85 0
n 72 0
n 17 0
n 46 0
n 58 0
n 80 0
n 69 0
n 11 0
n 40 0
n 17 0
n 39 0
n 85 0
n 31 0
n 40 0
n 87 0
n 26 0
n 93 0
n 58 0
n 47 0
n 36 0
n 58 0
n 18 0
n 97 0
n 15 0
n 12 0
n 98 0
n 64 0
n 82 0
n 3 0
n 27 0
n 50 0
n 97 0
n 15 0
n 20 0
n 69 0
n 37 0
n 68 0
n 61 0
n 28 0
n 35 0
n 32 0
n 79 0
n 17 0
n 96 0
n 54 0
n 58 0
n 55 0
n 3 0
n 55 0
n 25 0
n 94 0
n 8 0
n 45 0
n 52 0
n 34 0
n 31 0
n 23 0
n 86 0
n 24 0
n 80 0
n 70 0
n 81 0
n 52 0
n 3 0
n 55 0
n 39 0
n 88 0
n 12 0
n 39 0
n 58 0
n 5 0
n 49 0
n 52 0
n 9 0
n 71 0
n 81 0
n 13 0
n 19 0
n 7 0
n 8 0
n 82 0
n 28 0
n 40 0
n 42 0
n 100 0
n 57 0
n 89 0
n 73 0
n 66 0
n 8 0
n 37 0
n 6 0
n 56 0
n 33 0
n 30 0
n 23 0
n 41 0
n 26 0
n 13 0
n 89 0
n 40 0
n 98 0
n 69 0
n 87 0
n 57 0
n 58 0
n 49 0
n 45 0
n 55 0
n 50 0
n 67 0
n 98 0
n 67 0
n 31 0
n 16 0
n 60 0
n 66 0
n 72 0
n 2 0
n 72 0
n 5 0
n 51 0
n 22 0
n 16 0
n 8 0
n 86 0
n 33 0
n 6 0
n 76 0
n 10 0
n 26 0
n 12 0
n 80 0
n 63 0
n 18 0
n 16 0
n 75 0
n 71 0
n 74 0
n 21 0
n 90 0
n 81 0
n 17 0
n 58 0
n 42 0
n 37 0
n 49 0
n 98 0
n 98 0
n 31 0
n 10 0
n 97 0
n 30 0
n 48 0
n 83 0
n 17 0
n 3 0
n 91 0
n 69 0
n 49 0
n 75 0
n 52 0
n 6 0
n 9 0
n 75 0
n 83 0
n 50 0
n 45 0
n 31 0
n 6 0
n 79 0
n 92 0
n 51 0
n 16 0
n 67 0
n 5 0
n 48 0
n 58 0
n 93 0
n 60 0
n 71 0
n 99 0
n 16 0
n 96 0
n 41 0
n 61 0
n 13 0
n 10 0
n 10 0
n 9 0
n 17 0
n 83 0
n 6 0
n 26 0
n 6 0
n 53 0
n 61 0
n 34 0
n 63 0
n 88 0
n 23 0
n 34 0
n 76 0
n 18 0
n 44 0
n 39 0
n 18 0
n 48 0
n 5 0
n 38 0
n 40 0
n 30 0
n 68 0
n 28 0
n 70 0
n 86 0
n 42 0
n 98 0
n 92 0
n 25 0
n 73 0
n 94 0
n 21 0
n 86 0
n 2 0
n 63 0
n 9 0
n 41 0
n 21 0
n 71 0
n 32 0
n 14 0
n 100 0
n 57 0
n 39 0
n 66 0
n 93 0
n 88 0
n 67 0
n 48 0
n 42 0
n 89 0
n 16 0
n 68 0
n 10 0
n 36 0
n 75 0
n 24 0
n 71 0
n 87 0
n 38 0
n 98 0
n 1 0
n 64 0
n 7 0
n 87 0
n 47 0
n 58 0
n 51 0
n 58 0
n 53 0
n 42 0
n 39 0
n 51 0
n 53 0
n 7 0
n 65 0
n 92 0
n 2 0
n 41 0
n 68 0
n 66 0
n 51 0
n 83 0
n 75 0
n 9 0
n 67 0
n 92 0
n 59 0
n 39 0
n 68 0
n 76 0
n 3 0
n 16 0
n 29 0
n 20 0
n 10 0
n 100 0
n 61 0
n 14 0
n 51 0
n 24 0
n 28 0
n 86 0
n 84 0
n 26 0
n 20 0
n 26 0
n 95 0
n 53 0
n 98 0
n 52 0
n 71 0
n 93 0
n 80 0
n 25 0
n 31 0
n 70 0
n 21 0
n 4 0
n 63 0
n 64 0
n 7 0
n 35 0
n 88 0
n 81 0
n 43 0
n 93 0
n 18 0
n 59 0
n 65 0
n 55 0
n 45 0
n 47 0
n 15 0
n 57 0
n 30 0
n 21 0
n 73 0
n 75 0
n 28 0
n 51 0
e 35 0 0
e 900 0 1
e 364 0 -2
e 686 0 13
e 912 0 -9
e 497 0 -10
e 443 0 0
e 491 0 9
e 678 0 12
e 316 0 17
e 268 0 17
e 153 0 3
e 94 0 20
e 284 0 -8
e 439 0 12
e 222 0 5
e 274 0 -1
e 456 0 20
e 699 0 6
e 678 0 18
e 259 0 2
e 637 0 -7
e 568 0 3
e 543 0 2
e 724 0 -7
e 1020 0 9
e 1013 0 1
e 571 0 2
e 525 0 -9
e 778 0 -1
e 987 0 15
e 818 0 -1
e 410 0 9
e 750 0 3
e 120 0 1
e 253 0 8
e 585 0 -6
e 1014 0 -8
e 381 0 17
e 476 0 -4
e 335 0 18
e 498 0 -9
e 870 1 19
e 619 1 10
e 560 1 3
e 50 1 -2
e 417 1 14
e 758 1 -5
e 401 1 8
e 737 1 12
e 543 1 12
e 176 1 0
e 665 1 2
e 953 1 -6
e 925 1 -2
e 300 1 -3
e 126 1 -9
e 153 1 1
e 1001 1 10
e 434 1 12
e 969 1 -5
e 851 1 19
e 103 1 2
e 959 1 14
e 726 1 -7
e 557 1 14
e 654 1 10
e 387 1 18
e 599 1 12
e 97 1 1
e 105 1 19
e 609 1 2
e 465 1 14
e 669 1 9
e 278 1 12
e 882 1 0
e 29 1 18
e 900 1 0
e 330 1 2
e 2 1 -6
e 1000 1 5
e 44 1 -6
e 971 1 1
e 798 2 20
e 116 2 2
e 780 2 -2
e 724 3 1
e 212 3 15
e 89 3 12
e 53 3 5
e 818 3 -3
e 756 3 -4
e 719 3 -8
e 656 3 3
e 72 3 -2
e 399 3 -7
e 998 3 4
e 285 3 18
e 997 3 11
e 503 3 19
e 120 3 0
e 135 3 19
e 270 3 6
e 80 3 -7
e 724 3 18
e 653 3 18
e 123 3 15
e 21 3 11
e 563 4 9
e 287 4 -2
e 624 4 -6
e 474 4 17
e 340 4 1
e 945 4 18
e 318 4 6
e 533 4 2
e 70 4 -10
e 4 4 14
e 627 4 14
e 985 4 12
e 47 4 -4
e 360 4 19
e 247 4 10
e 586 4 20
e 599 4 13
e 118 4 2
e 790 4 17
e 785 4 6
e 686 4 -5
e 392 4 16
e 254 4 20
e 219 4 -2
e 485 5 8
e 244 5 13
e 979 5 7
e 552 5 20
e 523 5 13
e 453 5 15
e 89 5 14
e 919 5 14
e 906 5 4
e 630 5 14
e 464 5 13
e 969 5 1
e 616 5 15
e 73 5 5
e 121 5 5
e 520 5 9
e 320 5 7
e 945 5 5
e 362 5 16
e 273 5 16
e 449 5 8
e 214 5 -8
e 779 5 13
e 919 5 8
e 303 5 -5
e 21 5 5
e 410 5 12
e 193 5 -3
e 225 5 8
e 638 5 6
e 936 5 -3
e 167 5 -6
e 706 5 4
e 596 5 15
e 666 5 8
e 217 5 10
e 465 5 17
e 912 5 10
e 808 5 10
e 217 5 1
e 673 5 18
e 94 5 10
e 481 5 11
e 668 5 0
e 985 5 12
e 415 5 11
e 933 5 9
e 780 5 11
e 692 5 17
e 869 5 19
e 554 5 19
e 649 5 -7
e 898 5 -5
e 378 5 19
e 120 5 -4
e 355 5 6
e 550 5 3
e 986 5 19
e 877 5 2
e 98 5 -9
e 662 5 10
e 820 5 -1
e 569 5 5
e 319 5 15
e 350 5 14
e 365 5 20
e 739 5 -8
e 808 5 -6
e 30 5 7
e 541 5 -9
e 706 5 -3
e 831 5 11
e 519 5 -8
e 783 5 16
e 773 5 4
e 283 5 18
e 97 5 -7
e 197 5 1
e 300 5 8
e 838 5 -3
e 776 5 16
e 755 5 11
e 909 5 -5
e 958 5 20
e 235 5 9
e 255 5 20
e 464 5 7
e 117 5 16
e 140 5 13
e 647 5 7
e 371 5 7
e 976 5 15
e 130 5 4
e 987 5 12
e 582 5 15
e 299 5 -8
e 1018 5 -4
e 639 5 16
e 752 5 4
e 340 5 -6
e 661 6 13
e 859 6 18
e 531 6 5
e 230 6 -7
e 1013 6 -2
e 702 6 12
e 415 6 -7
e 138 6 11
e 27 6 8
e 184 6 -7
e 872 6 10
e 123 7 3
e 665 7 14
e 979 7 -4
e 240 7 4
e 58 7 15
e 934 7 11
e 339 7 9
e 267 7 -7
e 673 7 -4
e 94 7 3
e 492 7 -9
e 844 7 9
e 230 7 -7
e 180 7 2
e 526 7 -9
e 173 7 8
e 213 7 12
e 458 7 12
e 255 7 9
e 925 7 20
e 333 7 14
e 633 7 -3
e 345 7 -7
e 124 7 5
e 705 7 1
e 973 7 20
e 391 7 19
e 547 7 13
e 952 7 14
e 391 7 -2
e 76 7 18
e 602 7 16
e 334 7 17
e 665 7 11
e 317 7 -6
e 608 7 -8
e 945 7 -4
e 429 7 -7
e 321 7 6
e 871 7 1
e 677 7 -2
e 415 7 -6
e 792 7 -8
e 789 7 -5
e 512 7 -5
e 510 7 5
e 977 7 6
e 4 7 8
e 559 7 -7
e 911 7 0
e 851 7 -9
e 579 7 1
e 175 7 -2
e 202 7 -9
e 213 7 15
e 979 7 -10
e 149 7 4
e 602 7 -6
e 869 7 -2
e 298 7 -3
e 775 7 -1
e 929 7 14
e 613 7 19
e 969 8 -2
e 105 8 8
e 308 8 -1
e 300 8 19
e 257 8 5
e 279 8 19
e 198 8 11
e 157 8 16
e 934 8 6
e 11 8 14
e 385 8 17
e 97 8 -3
e 616 8 5
e 610 8 15
e 596 8 16
e 999 8 15
e 279 8 4
e 888 8 0
e 658 8 19
e 541 8 2
e 809 8 -1
e 882 8 10
e 116 8 -7
e 1018 8 15
e 567 8 -9
e 437 8 20
e 917 8 4
e 757 8 19
e 128 8 18
e 877 8 -7
e 884 8 7
e 907 8 9
e 869 8 17
e 520 8 -4
e 502 8 7
e 957 8 -7
e 491 8 19
e 440 8 -9
e 481 8 8
e 399 8 -6
e 828 8 -7
e 1012 8 -10
e 354 8 19
e 394 8 15
e 295 8 13
e 503 8 7
e 135 8 -8
e 315 8 10
e 667 8 13
e 832 8 2
e 966 8 14
e 433 8 17
e 560 8 2
e 16 8 -4
e 629 8 5
e 515 8 14
e 158 8 8
e 272 9 -2
e 923 9 -2
e 385 9 -2
e 41 9 -4
e 138 9 6
e 745 9 0
e 327 9 -6
e 641 9 0
e 817 9 -8
e 717 9 16
e 670 9 -9
e 385 9 10
e 652 9 3
e 528 9 -2
e 922 9 -7
e 205 9 12
e 87 9 14
e 336 9 20
e 703 9 6
e 28 9 19
e 771 9 1
e 895 9 10
e 905 9 10
e 953 9 -10
e 564 9 17
e 608 9 -4
e 741 9 12
e 258 9 15
e 834 9 -2
e 781 9 -1
e 950 9 4
e 748 9 -6
e 440 9 3
e 627 9 7
e 849 9 -9
e 637 9 13
e 984 9 -10
e 467 9 1
e 513 9 18
e 848 9 3
e 790 9 11
e 835 9 -3
e 899 9 -9
e 21 9 0
e 152 9 19
e 556 9 20
e 907 9 16
e 782 9 0
e 496 10 18
e 270 10 -1
e 877 10 -1
e 561 10 1
e 116 10 -10
e 397 10 1
e 676 10 1
e 469 10 -10
e 874 10 0
e 508 10 -6
e 118 10 12
e 331 10 18
e 107 10 -8
e 433 10 14
e 987 10 15
e 90 10 -5
e 626 10 10
e 130 10 2
e 113 10 16
e 140 10 17
e 94 10 -4
e 334 10 18
e 250 10 5
e 944 10 14
e 884 10 0
e 117 10 5
e 476 10 19
e 600 10 11
e 474 10 15
e 603 10 10
e 928 10 20
e 604 10 -3
e 285 10 12
e 489 10 -10
e 372 10 1
e 341 10 5
e 172 10 -2
e 779 10 8
e 937 10 -7
e 803 10 -5
e 91 10 -2
e 307 10 18
e 565 10 20
e 104 10 1
e 737 10 -8
e 469 10 2
e 818 10 -7
e 266 10 17
e 90 10 5
e 887 11 4
e 491 11 -6
e 361 11 -2
e 58 11 -4
e 659 11 -3
e 781 11 -8
e 1003 11 -7
e 922 11 -9
e 516 11 14
e 434 11 -9
e 725 11 -8
e 932 11 -5
e 188 11 14
e 351 11 -10
e 707 11 -5
e 726 11 3
e 545 11 3
e 425 11 18
e 260 11 4
e 513 11 16
e 653 11 1
e 699 11 -6
e 28 11 2
e 202 11 -2
e 975 11 15
e 470 11 7
e 69 11 10
e 553 11 -6
e 424 11 14
e 460 11 -5
e 1002 11 15
e 237 11 2
e 590 11 0
e 900 11 -6
e 43 11 -1
e 55 11 11
e 749 11 -6
e 634 11 17
e 348 11 2
e 1018 11 -1
e 33 11 -10
e 316 11 3
e 901 11 -4
e 385 11 9
e 637 11 7
e 494 11 10
e 740 11 -1
e 1001 11 8
e 775 11 -7
e 710 11 13
e 102 11 12
e 163 11 -7
e 953 11 10
e 656 11 -9
e 562 11 15
e 1012 11 17
e 2 11 17
e 300 11 2
e 30 11 8
e 372 11 -10
e 323 11 0
e 11 11 3
e 790 12 5
e 8 12 10
e 28 12 -6
e 311 12 0
e 823 12 8
e 626 12 10
e 754 12 18
e 716 12 12
e 9 12 -4
e 758 12 20
e 984 12 7
e 853 12 4
e 786 12 20
e 87 12 -4
e 182 12 18
e 264 12 14
e 319 12 -10
e 992 12 15
e 540 12 2
e 479 12 10
e 351 12 6
e 989 12 5
e 441 12 -5
e 539 12 -9
e 678 12 6
e 541 12 -3
e 229 12 20
e 700 12 7
e 811 12 11
e 631 12 19
e 792 12 0
e 10 12 20
e 618 12 -7
e 322 12 5
e 113 12 10
e 15 12 -1
e 963 12 10
e 475 12 12
e 48 12 18
e 282 12 -4
e 101 13 -2
e 849 13 10
e 261 13 6
e 330 13 14
e 702 13 1
e 397 13 19
e 281 13 20
e 929 13 -3
e 105 13 0
e 1018 13 6
e 871 13 6
e 703 13 15
e 25 13 12
e 977 13 9
e 1016 13 9
e 8 13 -8
e 849 13 7
e 960 13 11
e 1004 13 0
e 660 13 8
e 748 13 -2
e 105 13 -2
e 502 13 -8
e 943 13 20
e 917 13 5
e 227 13 6
e 733 13 11
e 856 13 6
e 591 13 -5
e 824 13 11
e 509 13 6
e 197 13 3
e 239 13 15
e 229 13 7
e 452 13 9
e 734 13 12
e 668 13 10
e 862 13 -4
e 54 13 -4
e 190 13 13
e 86 13 -8
e 135 13 19
e 874 13 -10
e 566 13 4
e 364 13 -1
e 828 13 -4
e 522 13 -7
e 73 13 14
e 5 13 -9
e 970 13 4
e 983 13 0
e 433 13 10
e 408 13 -7
e 116 13 12
e 546 13 5
e 856 13 3
e 884 13 8
e 495 13 12
e 84 13 -5
e 223 13 18
e 825 13 12
e 998 13 -3
e 103 13 12
e 283 13 2
e 860 13 -5
e 925 14 14
e 622 14 -5
e 328 14 -9
e 324 14 3
e 574 14 -2
e 440 14 3
e 391 14 -6
e 304 14 12
e 733 14 5
e 342 14 13
e 609 14 8
e 366 14 12
e 140 14 -4
e 487 14 8
e 615 14 16
e 559 14 -3
e 511 14 -8
e 204 14 0
e 787 14 -10
e 425 14 12
e 17 14 3
e 685 14 -10
e 833 14 16
e 658 14 8
e 63 14 18
e 501 14 -9
e 430 14 18
e 681 14 20
e 811 14 2
e 337 14 -7
e 896 14 6
e 302 14 -2
e 794 14 -10
e 565 14 -1
e 702 14 1
e 357 14 -5
e 631 14 -5
e 855 14 -9
e 211 14 9
e 279 14 4
e 590 14 -7
e 818 14 11
e 271 14 17
e 784 14 -1
e 210 14 11
e 644 14 12
e 806 14 4
e 418 14 -2
e 2 15 3
e 238 15 -10
e 531 15 -7
e 698 15 11
e 41 15 17
e 966 15 19
e 810 15 16
e 463 15 10
e 327 15 -6
e 33 15 19
e 221 15 11
e 418 15 12
e 665 15 11
e 18 15 -2
e 736 15 1
e 145 15 -9
e 622 15 20
e 354 15 -5
e 573 15 -4
e 238 15 2
e 680 15 13
e 524 15 -9
e 464 15 4
e 383 15 0
e 319 15 6
e 192 15 15
e 715 15 18
e 511 15 16
e 189 15 1
e 952 16 -4
e 395 16 5
e 985 16 -3
e 576 16 4
e 774 16 19
e 823 16 7
e 50 16 -6
e 800 16 13
e 175 16 -10
e 1021 16 10
e 418 16 11
e 49 16 1
e 435 16 0
e 816 17 -9
e 737 17 12
e 820 17 9
e 119 17 -10
e 922 17 -8
e 74 17 -1
e 251 17 -2
e 73 17 2
e 596 17 4
e 514 17 18
e 334 17 0
e 266 17 20
e 962 17 5
e 159 17 -2
e 636 17 10
e 140 17 -3
e 319 17 -1
e 333 17 17
e 10 17 16
e 884 17 5
e 410 17 15
e 587 17 14
e 816 17 15
e 443 17 -5
e 404 17 20
e 876 17 3
e 858 17 14
e 814 17 1
e 100 17 -10
e 664 17 16
e 680 17 20
e 1006 17 -10
e 51 17 -7
e 72 17 4
e 622 17 11
e 450 18 5
e 451 18 4
e 841 18 6
e 711 18 1
e 700 18 13
e 962 18 -9
e 482 18 8
e 462 18 16
e 177 18 15
e 947 18 2
e 100 18 -2
e 419 18 -6
e 205 18 14
e 296 18 -7
e 1003 18 4
e 346 18 -10
e 959 18 -10
e 853 18 15
e 604 18 -1
e 746 18 -5
e 62 18 9
e 917 18 18
e 220 18 5
e 431 18 -10
e 384 18 14
e 997 18 -2
e 599 18 0
e 233 18 15
e 452 18 9
e 359 18 -9
e 506 18 4
e 571 18 16
e 202 18 7
e 737 18 17
e 441 18 -8
e 45 18 13
e 598 18 4
e 828 18 13
e 203 18 17
e 170 18 19
e 177 18 2
e 5 18 6
e 710 19 5
e 383 19 18
e 704 19 20
e 874 19 5
e 66 19 -8
e 63 19 7
e 561 19 -10
e 177 19 18
e 631 19 0
e 656 19 -5
e 772 19 19
e 493 19 1
e 18 19 13
e 383 19 3
e 942 19 14
e 581 19 18
e 628 19 0
e 621 19 8
e 410 19 14
e 885 19 -7
e 560 19 1
e 912 19 14
e 421 19 17
e 587 19 20
e 910 19 11
e 112 19 -3
e 163 19 2
e 810 19 5
e 778 19 -8
e 619 19 17
e 985 19 16
e 651 19 -5
e 470 19 0
e 306 19 4
e 385 19 -9
e 375 19 3
e 596 19 -8
e 841 19 16
e 329 19 -8
e 526 19 8
e 157 19 -1
e 651 19 -4
e 211 19 2
e 4 19 8
e 765 19 -6
e 164 19 0
e 55 19 3
e 287 19 -9
e 628 19 14
e 917 19 10
e 637 19 14
e 442 19 -1
e 822 19 1
e 564 19 -5
e 547 19 -10
e 324 19 9
e 300 19 0
e 169 19 -9
e 413 19 -6
e 705 19 14
e 113 19 6
e 242 19 16
e 976 19 9
e 328 19 -3
e 470 19 14
e 863 19 -5
e 767 20 10
e 230 20 2
e 453 20 1
e 965 20 -2
e 508 20 19
e 99 20 7
e 132 20 19
e 171 20 10
e 419 20 9
e 831 20 12
e 575 20 -3
e 597 20 4
e 337 20 -9
e 196 20 19
e 406 20 8
e 350 20 -3
e 904 20 5
e 129 20 20
e 908 20 -2
e 1001 20 17
e 109 20 1
e 200 20 3
e 521 20 -8
e 25 20 5
e 74 20 18
e 305 20 17
e 600 20 8
e 663 20 -1
e 525 20 17
e 277 20 -5
e 938 20 19
e 271 20 15
e 456 20 12
e 532 20 11
e 401 20 2
e 179 20 19
e 815 20 -10
e 656 20 -6
e 645 20 -8
e 183 20 4
e 29 20 -5
e 47 20 20
e 610 20 -9
e 211 20 2
e 784 20 0
e 605 20 0
e 232 20 2
e 964 20 12
e 424 20 -10
e 200 20 18
e 58 20 -3
e 458 20 -10
e 812 20 -1
e 482 20 20
e 864 20 -2
e 812 20 -4
e 773 20 11
e 354 20 4
e 197 20 -9
e 688 20 13
e 832 20 16
e 707 20 5
e 186 20 8
e 36 20 9
e 784 20 2
e 964 20 2
e 1009 20 -8
e 728 20 6
e 330 20 16
e 742 20 11
e 514 20 12
e 32 20 -1
e 744 20 -8
e 498 20 1
e 1002 20 8
e 471 20 -3
e 391 20 -8
e 112 20 -10
e 647 20 17
e 215 20 20
